@relation Ionosphere-15



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute RESULT {g, b} 



@data
-0.347245, 4.585914, -0.297221, 0.438263, 0.814808, 0.438406, -0.740075, 0.834840, 0.254194, 0.109687, -1.285974, 0.606228, -0.891225, -5.014150, 0.123836, b
0.060839, 0.029834, 0.257228, 0.060990, 0.066046, 0.060998, -0.330419, -0.052917, 0.187061, 0.198795, -0.095599, -0.246573, -0.259201, -0.017301, 0.199721, g
1.059681, 0.010670, -0.231656, -1.248735, -0.537375, -1.248865, -0.728723, 2.828793, 0.993350, -1.823235, 0.022761, -1.611945, -1.845661, -0.189379, -3.907656, b
0.126378, -0.002003, 0.058208, -0.054318, 0.033264, -0.054326, -0.161016, 0.070853, 0.188600, 0.094472, 0.026461, -0.302710, -0.143190, -0.069786, 0.064907, g
0.135941, -0.389941, 0.321470, 0.223094, -0.856395, 0.223141, 0.775203, 0.341088, 0.794499, 0.274322, -0.838833, -0.245151, -1.689647, -0.257916, 1.080432, b
0.227528, 0.053225, 0.064064, 0.040575, 0.149569, 0.040576, 0.087418, -0.091662, 0.022559, -0.028531, -0.076744, -0.304480, -0.082014, -0.052506, -0.138955, g
-0.206850, 2.090025, 0.176556, -0.199336, -3.081666, -0.199315, 0.502496, 1.124507, 1.315341, 2.009230, 0.075270, 2.678433, -1.888257, 3.818072, -0.699864, b
0.220233, -0.281297, -0.737115, 0.157955, -0.107945, 0.157961, 1.432339, 1.510221, 1.017536, -0.346168, 0.583552, -0.698855, -0.058528, -0.812964, 0.033071, g
10.129619, -0.954110, -0.636758, 1.595596, 0.601807, 1.595480, 2.788903, -0.287483, 0.656274, 0.300060, -0.687328, 0.504989, 1.135440, 0.977370, 0.203426, b
-0.164398, -0.460751, 0.093240, 0.062038, 0.415484, 0.062045, -0.385339, -1.350264, -1.022168, 0.385282, 0.928275, 0.267020, 0.177485, 1.256949, 0.956194, g
-0.175757, -0.617226, 5.092818, -0.992825, 0.271800, -0.992981, 0.989243, 0.529294, 0.189076, 0.255883, -1.602945, 1.991283, 0.153750, 1.651340, 2.946319, b
0.098333, 0.092677, 0.037575, 0.025261, -0.034476, 0.025264, -0.186000, -0.070124, 0.090275, 0.055917, -0.086099, -0.450312, -0.085230, -0.227650, 0.116966, g
-2.231832, 2.492767, -0.302797, -0.995390, -0.431918, -0.995311, 1.796026, -1.689638, 2.073503, -1.908085, 2.097615, 0.234238, 0.966051, 0.416063, -1.222155, b
0.249423, 0.187436, 0.674231, 1.018877, 0.321845, 1.018949, -0.262029, 0.129400, 0.462146, 0.440300, -0.031474, 0.652519, -0.197859, -1.046792, -0.696231, g
0.206751, 0.271479, -0.012227, 0.375318, 0.186112, 0.375284, -12.322045, -0.213571, -0.534708, 0.258196, -0.075481, -0.584847, -0.670423, 0.352315, -0.824261, b
0.053876, 0.057628, 0.083449, 0.064782, 0.077883, 0.064783, 0.190005, -0.042516, 0.121194, -0.143142, -0.162924, -0.166890, -0.075591, 0.057297, -0.000720, g
-0.006233, 0.154096, 1.347286, -1.443587, -1.020470, -1.443612, 3.400670, -0.675047, 2.209178, 1.763487, 1.104343, -0.340053, -0.732805, -3.644920, 0.326921, b
0.115262, 0.025913, 0.008144, 0.012625, 0.125271, 0.012627, 0.177611, 0.055743, 0.141905, -0.080323, 0.114382, -0.041501, -0.019364, 0.123902, -0.046260, g
-0.599440, 0.053186, 1.344094, 0.366670, -2.446347, 0.366745, 0.154406, -0.085775, -0.280788, 2.493766, 0.685023, 0.858252, -0.590918, -0.556163, -0.050161, b
0.075564, -0.097030, 0.077936, 0.127448, 0.306342, 0.127466, 0.197346, 0.062048, 0.149830, 0.019171, 0.365150, -0.075587, 0.062122, 0.188605, -0.155882, g
-0.361839, 2.042048, 0.063585, -2.319897, 1.357644, -2.320150, 0.052320, 0.191026, 2.189250, -1.433182, 1.105609, 1.352386, 0.597424, 1.020342, 0.404573, b
-0.125126, -0.443370, 0.614882, 0.101140, -0.796416, 0.101168, -0.253952, 0.379625, 0.007754, -0.114459, 0.012566, -1.374908, 0.283346, -0.799542, -0.634463, g
0.249036, 0.113927, -0.678190, 1.285350, -0.697670, 1.285433, 0.223869, -0.037253, -0.185251, 0.673323, 0.310381, 0.676470, -0.019564, 0.324434, -0.978477, b
0.277410, 0.432590, -0.277596, -0.050280, 0.138238, -0.050292, -0.178595, 0.248159, 0.711245, -0.026074, 0.381928, -0.186484, -0.243519, -0.097826, -0.513815, g
0.747290, -1.319074, 5.557787, 0.842271, -2.060079, 0.842345, 0.175739, 0.484725, -2.519759, 0.188674, 0.466011, -0.148043, 0.039706, -0.363839, -1.504541, b
1.232134, -0.615282, -0.407561, -0.012434, -0.999986, -0.012452, 0.954557, -0.490593, -0.115296, -0.701843, 0.298240, -0.226892, 0.378482, 0.516867, 0.069338, g
2.201076, 0.406563, -0.081078, 0.969330, 1.686979, 0.969279, 0.346521, -0.831705, 0.602367, 0.412087, -0.982236, 0.476712, 0.434108, 0.018895, -0.994981, b
-0.055029, -0.092370, 0.083268, 0.262649, 0.239215, 0.262674, 0.404077, 0.095267, -0.040264, -0.159060, -0.008845, -0.044681, 0.258880, -0.177852, -0.114361, g
1.366835, -0.625464, -0.584513, 0.544368, -11.112698, 0.544497, 0.330823, -4.362413, 0.187124, -0.261069, 0.904069, 0.322307, -0.364448, 0.141472, 0.156561, b
-0.029753, -0.185513, 0.232252, 0.156890, 0.302419, 0.156906, 0.052094, 0.042376, 0.074480, 0.093355, 0.241874, 0.000951, 0.291326, 0.123774, -0.101325, g
1.456271, -0.734800, -0.059635, -0.333567, 0.282517, -0.333627, -0.178915, -0.247626, 1.355319, 0.032155, 0.555897, 0.581643, 0.434852, -0.618243, 0.532353, b
0.120629, -0.197065, 0.054869, 0.109307, 0.392772, 0.109311, 0.336288, 0.088636, 0.158282, -0.109505, 0.201053, -0.111704, 0.245265, 0.150198, -0.309128, g
1.605496, 1.027961, 6.993969, -0.524193, 0.436644, -0.524179, -2.034093, 0.482506, -2.172908, 1.720853, -0.236451, 0.056248, -1.039269, -1.018851, 0.772219, b
-0.000826, -0.100670, -0.010632, 0.056194, 0.210844, 0.056197, 0.193097, 0.121564, 0.049614, -0.085052, 0.087416, -0.097627, 0.188784, 0.072727, -0.193458, g
4.136980, 0.305391, -0.384133, -2.239700, 1.816715, -2.239890, -0.417015, -0.384199, 0.893138, -0.516948, 6.649726, -0.584315, 1.874125, 0.139241, -0.292650, b
-0.065026, -0.664627, 0.686939, 1.100567, 1.111122, 1.100659, -0.506765, 0.668590, 0.419085, -0.129457, 0.682593, -0.544188, 0.199798, -0.248024, 0.317655, g
1.560502, 0.147738, -0.263783, 0.398701, 6.463860, 0.398747, 0.673954, -2.063211, 0.699215, 0.349952, 4.766888, 0.669573, -1.940011, 0.501007, 0.831151, b
-0.940143, 0.876743, -0.777599, 0.553276, 0.021435, 0.553404, 0.300120, 0.081159, 0.017220, -0.292236, 1.205956, -0.585306, -0.505926, -0.670012, 0.909720, g
0.777950, 0.759965, -1.113094, 0.329407, -0.254385, 0.329499, 0.752356, 0.643955, -0.047745, -0.168969, -0.332468, 1.779169, -0.154145, -8.539563, -0.998862, b
-0.141095, -0.352091, 0.135042, 0.071576, 0.262794, 0.071584, 0.121179, -0.073615, -0.139359, 0.080705, 0.066478, 0.021624, 0.331803, 0.153579, -0.145074, g
0.406003, -0.003945, -0.946160, 0.076585, -0.002491, 0.076597, -0.104770, 1.491256, -0.928388, 0.244565, 0.933276, 0.212758, -0.948352, 0.443298, 0.292655, b
0.039990, -0.380976, -0.254710, -0.298760, -0.137006, -0.298800, 0.455479, 0.416381, 0.238318, -0.577980, -0.112741, -0.222571, 0.287420, -0.011199, 0.284282, g
-0.716727, 0.295359, -1.972186, -0.788951, -0.094472, -0.789013, 0.601444, -0.187430, -0.510845, -0.149683, -0.230727, 0.291058, -0.703437, -0.477938, 0.054106, b
0.113548, -0.163472, 0.086281, 0.011645, 0.312920, 0.011637, 0.047761, -0.287117, -0.246845, -0.238512, -0.145138, 0.204299, -0.139550, 0.081599, -0.169237, g
-0.015089, -0.147790, -0.511139, -0.025587, -0.756767, -0.025630, 0.566602, -0.739707, 0.042392, -0.560113, -0.504949, -1.189177, -0.784053, 1.339185, 0.889137, b
0.172636, -0.505684, 0.141132, 0.283002, 0.046215, 0.283004, 0.096058, 0.147021, 0.166837, -0.002294, -0.451031, -0.154157, -0.057455, -0.037269, -0.163113, g
1.308577, -1.015520, -0.895674, 0.696177, 0.004434, 0.696137, 0.844050, -0.449946, -0.179206, -0.376270, -0.771804, 1.813452, -0.098993, 0.314319, -0.474725, b
-0.236759, 0.265427, 0.421201, 0.288115, 0.122101, 0.288163, 0.073852, -0.161569, -0.159207, -0.083112, 0.106569, -0.366320, 0.156427, 0.197092, -0.148823, g
0.402047, 0.119055, 0.373632, 0.152823, 0.189981, 0.152836, 0.515471, 0.269958, 0.146052, -0.425430, 0.203592, -0.268421, -0.138937, 0.319140, 0.194723, b
-0.474580, -0.151496, -0.864103, -0.551072, -0.578064, -0.551115, 0.250111, 0.032090, 1.227764, -0.270660, 0.173207, -0.681052, 0.073955, -0.422839, -0.499566, g
-0.417054, 0.800594, 1.080001, -0.415042, -0.265676, -0.415018, -0.422158, 0.101172, -1.064132, 0.056972, -0.423285, -0.713922, -0.391824, -0.074707, 1.129105, b
-0.291402, -0.245137, -0.566408, -0.205106, 0.119531, -0.205088, -0.027059, 0.319026, -0.242554, -0.226296, 0.819396, -0.400000, 0.205957, -0.020274, 0.569895, g
1.188402, -0.557446, 0.313005, -0.760198, 0.775649, -0.760337, 0.731222, 0.019758, 0.114072, 1.142356, -0.177156, -1.500243, 1.005088, -0.721526, -1.312421, b
-0.032381, -0.190494, 0.109854, -0.033137, 0.078412, -0.033141, -0.116339, -0.083951, 0.120502, 0.106855, 0.061347, -0.244052, -0.001684, -0.028868, 0.069250, g
0.081295, -0.241560, 0.187301, -0.096227, 0.012852, -0.096238, -0.013884, -0.104666, 0.106086, 0.229030, 0.081598, -0.147961, -0.121149, -0.203517, 0.098076, g
-0.747960, -1.104552, 0.384786, 0.154883, -0.973619, 0.154883, 1.011347, -0.299386, -1.112884, -4.867311, 0.877963, 2.398102, -1.714421, 0.377639, 2.628221, b
-0.088942, -0.144842, 0.018818, -0.033961, 0.032729, -0.033974, 0.024845, 0.022339, 0.078371, 0.073539, -0.359670, -0.336571, 0.111062, -0.116486, -0.057922, g
-4.642145, -3.337032, -0.474357, 0.685035, 0.206073, 0.685126, 1.682147, -0.104289, 0.313200, -1.606041, 0.832197, -0.265972, -0.050879, 0.159526, 2.159197, b
0.116782, -0.060615, 0.062586, -0.002806, 0.175329, -0.002809, -0.010351, 0.038790, 0.197209, -0.043179, 0.088121, -0.268231, -0.160602, -0.048579, 0.010969, g
-0.539847, 0.318959, 1.686129, -0.608479, -0.346621, -0.608495, -0.207913, -0.255489, -1.435320, -0.497282, 0.119213, 0.984412, -0.469110, 0.584208, -0.588872, b
0.002589, -0.713568, 0.234587, -0.192832, 0.421243, -0.192865, 0.028255, 0.063357, 0.188445, 0.041788, 0.076908, -0.649699, -0.264403, -0.276643, -0.237933, g
-1.224820, 0.803728, -1.665248, -0.113905, 1.131905, -0.113886, 0.917602, -0.650361, 0.082417, 2.336441, 0.757869, 0.154661, -0.353739, -0.773358, -0.182998, b
-0.430131, -0.559393, -0.097454, -0.086849, -0.047313, -0.086874, -0.269204, 0.254529, -0.301423, 0.451880, 0.739945, 0.151316, 0.497215, -0.381629, 0.297176, g
0.169511, 0.360486, -0.518620, 0.389545, -0.689473, 0.389565, -0.882121, 1.080793, 0.558175, 2.179421, -1.016020, -0.728805, -0.419289, -0.837173, -0.570675, b
0.039461, -0.082552, 0.025061, 0.124388, 0.047797, 0.124391, 0.009960, 0.080128, 0.195439, -0.114229, -0.000769, -0.222946, -0.089033, 0.051120, 0.030246, g
-1.733234, -0.049595, -0.306168, 0.275617, -0.464468, 0.275654, -0.389061, 2.497800, 0.591290, 0.827326, -0.384082, 0.197328, 2.669401, -0.547152, -0.442680, b
-0.264183, -1.142537, 0.336351, 0.126375, 0.889687, 0.126345, -0.284691, 0.196376, -0.305425, -0.366638, -0.566564, 0.592779, -0.113072, 0.015306, -1.234634, g
0.346233, -0.337991, -0.446211, -0.417377, -0.473984, -0.417472, 0.389655, 2.745496, -0.190429, -0.540259, -0.857418, 1.377978, 0.229756, 0.298960, 0.011545, b
-0.021682, 0.016702, -0.067038, -0.115542, -0.253218, -0.115550, -0.062966, -0.121396, 0.108993, -0.032928, -0.089205, -0.268368, -0.023790, -0.101803, 0.224122, g
-1.250486, -0.580352, -0.211200, -0.305609, 0.020571, -0.305627, 0.104589, -1.323383, -0.492988, 1.905080, 0.165770, -1.138656, 0.133440, -0.474835, -0.022561, b
0.019110, 0.061382, -0.192750, -0.273943, -0.292178, -0.273961, 0.091531, -0.147506, 0.129084, 0.149467, 0.130212, -0.166848, -0.318200, -0.260867, 0.294650, g
-0.172114, -0.140998, -0.488771, -0.221170, 0.092350, -0.221177, 0.575411, -0.484562, 2.182730, -0.103208, -0.470582, -1.187037, -0.283300, -1.012456, 0.059337, b
0.073017, -0.091808, -0.207056, 0.050785, -0.072628, 0.050781, -0.277902, 0.729692, 0.216901, -0.206476, -0.059923, -0.057226, -0.131082, -0.097067, 0.358918, g
0.135222, 0.408303, -0.091529, 0.559927, -0.394207, 0.559952, -0.364361, 0.593142, 1.164311, 0.541726, 0.197225, -0.285921, -0.465697, 0.243882, -0.816764, b
-0.090934, -0.117461, 0.164446, 0.066253, 0.196565, 0.066252, 0.245299, -0.509253, 0.101958, -0.184958, -0.356861, 0.108119, 0.011988, 0.051429, -0.140596, g
0.268449, 0.654841, 0.414443, 0.538817, -0.184898, 0.538908, -0.681054, -0.627151, -0.158099, 1.787797, -0.347696, -3.533546, -0.030979, -0.431562, -0.016095, b
0.042007, -0.034407, 0.099891, -0.269460, 0.024816, -0.269486, 0.065379, -0.148305, -0.060391, 0.008054, -0.190004, -0.206793, 0.066610, -0.166379, -0.062555, g
-0.404935, 0.055419, 0.307740, 0.841668, -0.333040, 0.841727, -0.251721, -0.604552, 0.179043, -0.032191, -0.204480, -0.064538, 0.578184, 0.705137, -0.427233, b
0.440048, -1.519339, 0.276517, 0.568853, -0.508703, 0.568912, 0.851919, 0.029202, -0.793195, -0.756585, -0.384673, -0.462648, 0.033718, -0.553183, -0.616967, g
-2.832801, 0.187428, 1.381589, 0.234777, 1.370308, 0.234759, 0.557905, -1.592686, 1.113611, -0.117635, -3.345260, -0.774445, 2.229673, 0.493246, 0.050383, b
-0.346870, -0.050773, -0.374206, 0.114508, 0.140397, 0.114515, -0.378121, 0.399308, 0.029265, -0.376698, 0.141738, 0.313909, -0.265885, 0.175261, -0.230889, g
-2.141198, 1.683837, -0.053497, 1.018309, 0.942347, 1.018512, 1.506485, 0.520235, -1.795303, 0.980358, 0.763951, 0.961832, 0.025782, 2.604233, -0.347536, b
-0.858736, 0.395580, 1.232866, 0.173357, -0.127700, 0.173416, -0.553357, -0.008432, 0.121344, 0.644485, -0.331770, -0.672157, -0.907148, 0.074458, -0.097038, g
-0.357690, 0.312109, -0.796683, -0.302446, -0.319254, -0.302427, -0.660878, 0.997829, 0.460860, 1.081407, 0.273325, -0.198175, 0.332084, -0.472612, 0.171372, b
0.145624, 0.077469, -0.022016, 0.002095, 0.144590, 0.002094, 0.014933, 0.075908, 0.173996, -0.038229, 0.156378, -0.115286, -0.149560, 0.063722, -0.090860, g
-0.373509, 0.466855, 0.352381, 0.336810, -1.585589, 0.336954, 1.290899, 0.667734, -1.179504, 0.779829, -0.241231, -1.092596, -0.143435, 0.976322, -2.077088, b
0.045282, 0.023808, -0.064008, -0.012417, 0.004241, -0.012419, 0.081592, 0.039427, 0.103873, -0.037468, 0.058323, -0.182737, -0.071583, -0.039141, 0.009775, g
0.904797, 0.169250, -0.510482, 0.281165, 0.795363, 0.281172, 0.092601, 2.026592, -0.252905, -0.110334, 0.001046, 0.295375, 0.805143, 0.346988, -1.371068, b
-0.128128, -0.648083, -0.233016, -0.012765, 0.332246, -0.012788, 0.352448, 0.125266, -0.199557, 0.393208, -0.114075, -0.039025, -0.590028, 0.132703, 0.041003, g
-1.839585, -0.179257, -0.215464, -1.260865, 0.409713, -1.260915, -0.599332, 0.222835, 0.664794, 1.951227, -0.104079, -1.963933, 1.017237, 0.833673, -2.450736, b
-0.010404, 0.043136, -0.187718, 0.123447, -0.160320, 0.123445, -0.259375, 0.059580, 0.140716, -0.045510, -0.349980, -0.161568, 0.200438, 0.320886, -0.145149, g
0.133620, -0.285424, 0.172184, -0.139136, 0.660745, -0.139195, -0.127754, 1.083626, 0.782345, 0.433215, 0.042858, 0.528443, 0.507413, 1.426695, -2.524232, b
-0.249616, 0.002013, -0.168292, -0.073425, -0.202967, -0.073423, -0.210586, -0.109324, -0.108660, 0.173876, -0.054102, -0.035971, 0.068040, -0.242799, 0.431342, g
0.797331, -0.453470, -0.740150, 1.419720, -0.543115, 1.419701, -2.584811, 0.442808, 1.210055, -0.100198, -1.512251, 0.572321, 2.634611, 2.260700, -1.716539, b
-0.364719, -0.041488, 0.171192, 0.541871, 0.259039, 0.541919, -0.344931, -0.090203, 0.137756, 0.149770, -0.349902, -0.438264, 0.512453, -0.102127, -0.049647, g
-0.139943, 0.399911, -0.348687, 0.611431, 0.385512, 0.611459, -0.570603, -0.077677, 0.447816, -0.423998, -1.111847, -0.221045, 0.092770, 0.580891, 0.188684, b
-0.358564, 0.211147, -0.745334, 0.113536, 0.087434, 0.113538, -0.183648, 0.741836, 1.262672, 0.041198, 0.887631, -0.122791, -1.096878, 0.143908, -0.895168, g
0.547228, -0.254904, 0.217572, 0.004345, -0.817439, 0.004416, -0.453466, -0.473010, 0.398167, -0.007676, 0.834862, -1.218038, 0.465861, -0.300243, 1.053122, b
0.023225, 0.011966, -0.022068, -0.050170, -0.022475, -0.050175, 0.031594, -0.023477, 0.156610, -0.001385, 0.072856, -0.207076, -0.088861, -0.071439, 0.096747, g
-0.343064, -2.049827, 0.561977, -0.057598, -0.498278, -0.057613, -1.374413, -0.701349, -1.489541, 1.043075, 0.655952, -0.874676, -0.145594, 0.600132, -0.181306, b
-0.268872, -0.388800, -0.057490, -0.003186, 0.079971, -0.003206, 0.155527, -0.294290, -0.122831, -0.143953, -0.501251, 0.429529, -0.060488, 0.454205, -0.047685, g
-0.116763, 0.066421, 0.022086, 0.274277, 0.042926, 0.274292, -0.245025, 0.029820, 0.075104, -0.046098, -0.448476, -0.117579, 0.096452, 0.118028, -0.024858, b
-0.280342, 0.220106, -0.233490, 0.246878, -0.061586, 0.246904, -0.231428, 0.090668, -0.097909, -0.217409, -0.303160, 0.288683, 0.051531, 0.094469, 0.305934, g
0.264053, 0.681324, -0.746455, 0.928336, -0.596043, 0.928390, -1.408447, 0.305194, 0.652107, -0.731583, 0.070576, 0.678411, 0.043777, 0.852174, 0.382791, b
0.020246, -0.038942, 0.027524, 0.025868, 0.046171, 0.025864, 0.112457, -0.094964, -0.043515, -0.054553, -0.200851, -0.178637, -0.071040, -0.025432, -0.030434, g
