@relation Ionosphere-19



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute attr15 real 
@attribute attr16 real 
@attribute attr17 real 
@attribute attr18 real 
@attribute RESULT {g, b} 



@data
1.791829, 0.373861, 1.681862, 1.453314, 0.918626, -0.064176, 0.384206, -0.130555, 0.182744, 0.753432, 0.316102, -0.550165, 0.623421, 2.340918, -1.105176, 0.560463, -1.186287, 0.753430, -0.344173, b
0.224301, 0.028661, 0.130028, -0.114923, -0.472025, -0.043498, -0.107009, -0.286617, 0.189647, -0.141970, 0.209559, -0.054825, -0.373820, 0.049381, 0.098173, -0.078888, -0.105444, -0.141971, 0.300063, g
-1.624065, -0.365261, 1.057847, -2.427995, 0.371612, 0.213630, -1.161215, -0.527994, -0.371647, 2.582373, -0.145651, -0.274290, -0.362398, 2.214668, -2.463640, -2.503609, 3.223398, 2.582387, 0.384557, b
0.179038, -0.180130, 0.004688, 0.069565, 0.071538, -0.175700, -0.151335, -0.177062, -0.112950, 0.165327, -0.020780, 0.099805, -0.008324, -0.228234, 0.132376, -0.044454, 0.055352, 0.165327, 0.033853, g
-0.045812, -1.748004, 0.010588, -0.247675, -0.147573, 0.102690, 12.552307, -0.825829, -0.184293, 0.118235, 0.549785, -0.471711, -0.517214, -0.067559, -0.026570, -0.213929, -0.229851, 0.118237, 1.139543, b
0.753526, -0.579820, 0.032823, 0.427562, -0.311354, -0.008597, 0.696733, 0.033432, 0.162360, -0.168310, -0.063919, -0.253086, 0.197931, 0.124291, 0.722473, 0.145372, -0.583075, -0.168314, 0.572823, g
-0.100902, 1.052537, -1.112367, 2.202426, -4.138272, 0.890037, -0.626908, -0.567903, -0.001217, 6.160049, 1.039762, 1.020506, 1.155350, -0.932254, -0.598640, 0.517184, 0.167023, 6.160069, -1.264409, b
0.082728, 0.071822, -0.093152, 0.086557, 0.180152, 0.087491, 0.158128, -0.132795, -0.201011, -0.112473, 0.252506, 0.272196, 0.224228, -0.142556, 0.238012, 0.143077, 0.148472, -0.112472, -0.159520, g
0.866857, -0.066654, 1.151907, -0.304739, 0.428245, -2.031499, -0.057242, -2.405719, -0.378327, 1.228198, 3.547853, 3.950456, -1.642800, -0.118950, -0.626861, -0.305369, 1.223774, 1.228200, 3.831266, b
0.277315, -0.280396, -0.107460, 0.085697, 0.141838, 0.023264, -0.125621, -0.083641, -0.126268, 0.003016, 0.142632, -0.007265, -0.050663, -0.083426, 0.068576, 0.067644, 0.166117, 0.003015, -0.145421, g
-0.046267, -0.108857, -0.536309, -0.716715, -1.706992, -3.499554, 0.759793, 0.657019, 6.245625, -0.789024, 0.819491, 0.263597, 2.266540, -2.995916, -1.383092, 0.584250, -5.909247, -0.789026, 0.506755, b
-0.283017, 0.057960, -0.029682, -0.028019, 0.211018, -0.052327, 0.015586, -0.392382, -0.128866, -0.252431, -0.251096, 0.702115, 0.263201, -0.293005, -0.226567, -0.177715, -0.072047, -0.252431, -0.240388, g
0.334032, -0.427953, 0.182239, -0.210526, 1.107218, -0.246476, -0.682081, -0.201896, 0.544916, 0.039676, 0.331998, 0.995753, -0.453264, -0.342982, 0.767029, -0.751640, -0.172933, 0.039674, 0.247148, b
-0.225237, -0.234686, 0.184265, 0.255460, -0.080485, 1.002122, -0.484856, -0.692008, 0.949607, -0.736575, -0.725208, 1.241234, -0.425072, -0.511754, 0.043053, -0.270365, -1.648537, -0.736582, 0.300305, g
-0.524434, 9.341731, 0.118164, -0.563814, -0.046694, 0.886343, -0.407704, -0.094295, -0.349625, -0.887805, -5.967995, 0.531765, 0.741921, 0.714299, -0.973163, 0.656694, 0.182336, -0.887798, -0.243471, b
-0.322814, -0.179389, 0.163796, 0.285319, -0.641671, 0.065379, -0.258220, -0.141178, 0.270265, -0.220147, -0.014092, 0.541648, -0.211838, -0.250302, -0.109010, -0.036707, -0.605206, -0.220149, 0.190908, g
-0.016132, -5.472381, -0.037750, -1.053342, 0.472438, -2.267035, 0.184508, 0.067860, 3.551099, -0.452778, -5.691645, 0.665548, 6.345368, 0.035307, 0.896672, 0.317366, -0.714547, -0.452782, -0.311540, b
-0.191431, -0.181567, 0.070877, 0.163122, 0.173859, 0.149014, 0.222492, 0.261137, 0.058570, -0.045130, -0.050935, -0.146062, 0.202791, 0.239586, 0.282673, -0.176050, 0.147713, -0.045129, -0.167319, g
1.060445, -0.702006, 1.050354, -0.146321, -0.859786, 0.298094, -4.982077, -1.656244, 0.203049, 0.870636, 0.061791, -2.938036, 0.096218, -0.343093, -0.804248, 0.813493, -0.486057, 0.870629, 1.883991, b
0.039359, -0.203201, -0.182399, 0.049632, 0.160892, 0.040212, -0.182998, 0.165284, -0.346679, -0.094777, -0.008129, 0.155648, 0.230691, -0.197386, -0.093521, 0.101127, 0.286663, -0.094777, -0.097044, g
1.338928, -0.531787, -0.231144, 0.836671, 0.241240, -0.824276, -2.003315, -0.326027, -1.153913, 1.090963, -0.082613, -1.507760, -1.008797, -1.758813, 0.602904, -1.172671, 0.952267, 1.090962, -0.021282, b
-0.859366, -0.768275, 0.381214, 0.902412, 0.476758, -1.190930, -0.126216, 0.099723, 0.443971, 0.672039, -0.511088, 0.600772, 0.300331, 0.760072, 0.087383, -1.272940, -0.344518, 0.672038, 0.328446, g
-1.843572, -2.164739, 3.540925, 0.129416, -1.545039, 1.385750, -0.663450, -1.185013, 0.519803, 0.300567, 0.480835, 2.356776, -0.420069, 0.714597, -0.801404, -0.954093, 0.595096, 0.300566, 0.646088, b
0.053627, -0.009051, -0.132529, -0.072291, 0.053775, 0.051998, 0.005652, -0.028653, -0.086697, -0.108616, 0.090620, 0.159075, 0.088177, -0.026369, -0.027066, -0.011350, 0.126301, -0.108616, -0.000996, g
-0.711052, -3.297952, -0.236627, 0.981668, 0.939822, -1.270740, 0.324350, 0.277414, 0.940556, 1.244786, -0.961767, 1.393761, -9.832947, 2.460710, -3.109381, 0.368668, 0.420529, 1.244773, -1.187088, b
0.167741, -0.040394, -0.075147, 0.010762, 0.017465, -0.082961, -0.123293, -0.039276, -0.192240, 0.033888, -0.048838, 0.000880, -0.088544, -0.183985, 0.035150, -0.060764, 0.084503, 0.033888, 0.098540, g
0.532427, -0.114093, -0.114018, -0.118287, -0.354720, -0.790550, -1.089482, 0.035692, -0.816600, -0.308808, 1.026755, -0.396625, 0.549033, 0.903365, -0.199521, -0.259442, 1.596225, -0.308806, 0.494936, b
0.177706, -0.219681, 0.089545, 0.211988, -0.120978, -0.089592, -0.244959, -0.264611, -0.196111, 0.215842, -0.140831, 0.120644, -0.229545, -0.338691, -0.007897, 0.005348, -0.174961, 0.215841, 0.182205, g
2.535818, 0.717249, 1.418532, -0.629755, 0.332704, -0.278457, 0.279780, -0.478226, -0.632402, -0.373924, 0.663845, -0.902555, -0.760237, -0.655590, -10.435785, 0.136592, -1.863874, -0.373923, -0.453301, b
0.482198, -0.973048, -0.424865, 0.648648, -0.415460, 0.244817, -0.274273, -0.508725, 0.640826, -0.140167, -0.553474, -0.403464, 0.158438, -0.435157, 0.372363, 0.065906, -0.006109, -0.140170, 0.014796, g
0.118014, -0.330825, 5.518341, -4.016149, -0.030389, 0.723285, -0.292275, -0.193772, 0.175530, -0.603389, -0.788862, -6.598749, 0.813481, -1.081600, -1.049593, 1.012242, 0.788142, -0.603391, -1.469926, b
0.062047, -0.096674, -0.148309, 0.013291, 0.181294, 0.014370, -0.145965, 0.192350, -0.359533, -0.178248, 0.228865, 0.169073, 0.242049, -0.127776, 0.009513, 0.079183, 0.294646, -0.178247, -0.301985, g
3.298245, 4.947404, -1.559976, -0.887944, -2.970909, -1.271552, 2.064803, -2.841710, 1.789833, 0.987102, -0.221875, 1.831588, 0.673419, 0.267056, 0.745073, 0.639290, 1.343182, 0.987114, -0.902806, b
0.046540, -0.027903, -0.039809, -0.000331, 0.031012, -0.006980, 0.039508, 0.066103, -0.175239, -0.110627, 0.166608, 0.145673, 0.141559, -0.098352, 0.065910, 0.039946, 0.150102, -0.110626, -0.133656, g
-1.981196, 0.134619, -0.451503, 0.546694, 1.345615, 0.565901, -0.241944, 1.108087, 0.087262, 0.297848, 0.811212, 0.314432, 0.934615, 1.048730, -0.536804, 1.377370, 1.486490, 0.297854, 0.683233, b
0.100419, -0.012210, -0.017487, -0.046998, 0.221442, -0.024962, -0.092925, -0.137774, -0.178664, -0.107210, -0.057477, 0.140037, 0.155154, -0.157048, 0.183048, 0.058042, 0.128101, -0.107211, 0.124537, g
-0.584396, -0.043573, -0.777904, -2.315260, -0.978352, 0.249447, 0.169799, -0.798521, -0.302435, 0.604200, 3.441403, 0.418342, 0.571524, 2.099174, -3.220470, -2.608660, 1.657392, 0.604215, 0.592947, b
0.601015, 0.137302, 0.523419, 0.314089, -0.547799, 0.572342, -0.209736, -0.287450, 0.511233, 0.114598, 0.051565, -1.003225, -0.695373, 0.026303, -0.044252, 0.011592, -0.259842, 0.114595, 1.400015, g
-0.728336, 8.412802, -0.300253, 0.136178, 2.651629, -2.788453, -0.799422, 1.103353, 0.847230, 0.961093, 1.546871, 0.428461, 0.163042, 0.304609, 0.014074, 0.122511, -0.868113, 0.961105, 3.907474, b
0.600112, -1.291107, 1.430989, 0.528915, 0.431510, 0.352169, -0.487579, 0.676185, -0.248272, -0.161046, -0.405481, 0.547582, -0.834987, 0.144423, -0.170209, -0.875416, -0.126330, -0.161051, -0.119047, g
0.641478, -2.124892, -0.373019, 0.537441, 0.535411, -0.656230, 1.922831, 1.275833, -4.421342, 0.917650, -0.428124, 0.278871, 1.332457, -0.308330, -4.968521, -0.462677, -0.091230, 0.917650, 1.318902, b
0.240476, -0.037346, 0.024464, -0.068585, 0.214116, -0.104823, -0.080325, 0.147670, -0.068878, -0.325804, 0.062109, -0.003893, 0.139223, 0.023501, 0.354214, 0.146416, 0.077850, -0.325805, -0.186623, g
-3.560517, -0.391770, -2.973413, -1.788201, -0.523187, 5.512792, 0.768029, -1.686210, -2.534387, -0.274196, -1.288813, -1.104886, -0.361295, 0.340032, 0.035099, 0.361416, -0.599819, -0.274198, 1.145906, b
-0.286366, 0.466633, -0.469539, 0.044014, 0.220664, -0.831944, -1.078187, -0.655976, -0.063352, -1.604369, 0.661417, -0.146432, -0.108558, -0.319181, -0.512924, 1.419116, 0.161332, -1.604373, -0.459327, g
0.068462, 0.192834, 0.666882, -0.292541, 2.020520, -1.911731, -0.530270, -0.603632, 0.447541, 0.687546, 0.416723, 0.939593, -0.999474, -0.173540, 0.538880, -0.786338, 0.911384, 0.687555, -11.908638, b
0.028932, -0.084969, -0.079855, -0.082341, 0.073180, -0.070715, -0.091579, -0.075970, -0.144861, 0.079494, -0.059151, 0.136073, 0.070127, -0.138658, 0.019313, 0.030354, 0.115102, 0.079494, 0.207229, g
-0.790060, 0.760521, 0.183651, 0.233349, -0.672325, 0.011593, 1.908049, 0.138581, -1.631055, 0.011555, 0.799781, -8.221915, -0.276041, 1.055313, -0.126117, 0.243322, 0.727387, 0.011554, 2.860133, b
0.071276, -0.003515, -0.033761, -0.061868, 0.036893, -0.002876, -0.115116, -0.103851, -0.100644, 0.062563, -0.020624, 0.210730, -0.179305, -0.184820, -0.088180, 0.032014, 0.036552, 0.062563, 0.208038, g
0.537935, -2.474845, -3.148612, 0.184434, 0.150066, -0.693133, -0.338173, -0.509084, -0.823598, -0.581076, 0.875320, -2.368763, -0.046942, 2.653828, -0.426993, 1.140269, 0.525020, -0.581079, 0.092060, b
0.210229, 0.044513, -0.147453, 0.067705, -0.047407, -0.063965, -0.340178, -0.163338, -0.173490, 0.144480, 0.011977, 0.065060, -0.353769, -0.338367, 0.024347, 0.005961, -0.026526, 0.144479, 0.224677, g
-1.069206, 0.488799, -0.005542, -2.028529, -0.676521, -0.149626, 3.035840, 0.072579, -0.421632, -1.471012, -0.293590, -0.757856, -3.458251, -1.468502, -0.714608, -0.608685, -0.753158, -1.471019, -0.149069, b
0.304208, 0.311004, 1.490407, 0.425480, -0.441444, 0.229254, -0.143339, -0.690328, -0.618503, -0.211786, 0.201787, -0.452253, 1.494992, 0.377971, 0.371691, 0.353160, -0.474879, -0.211786, -0.489433, g
1.236311, -0.048649, 0.011135, 0.127428, -0.160534, 0.473394, -1.488943, -1.090663, 0.992044, -1.554574, 0.290545, -0.271095, -0.374732, 1.486898, -0.683134, -0.653373, -0.340116, -1.554580, 0.101364, b
0.352737, 0.510427, -0.194174, -0.363943, -0.029400, 0.157121, 0.012142, -0.460511, 0.179467, -0.756818, 0.404070, -0.052643, -0.423043, -0.140683, 0.130110, -0.024408, 0.113173, -0.756819, -0.235786, g
-1.159171, -0.132235, -0.512095, 0.615093, -1.557892, -8.932712, -0.523679, -1.573784, -0.515210, -0.904370, -0.453891, 0.381632, 0.359336, 1.140815, -0.417589, 0.767762, -0.196086, -0.904376, 0.586370, b
0.903131, 1.098869, 0.157196, 0.487837, 0.273425, 0.382953, -0.157487, 0.126030, 0.042315, 0.119135, -0.599654, -0.028681, 0.052671, 1.243976, 0.456844, -0.281743, -0.459800, 0.119133, 1.039629, g
0.671493, 1.329700, -0.571658, -0.467475, 0.044298, -0.535022, -0.248384, -0.644901, -0.253774, -0.498930, 0.526214, -1.087388, 0.260758, -1.352398, 1.926400, 0.004247, -0.213127, -0.498930, 0.606221, b
0.086975, -0.194143, -0.163288, 0.060047, 0.001326, -0.128198, -0.376264, -0.187356, -0.083144, 0.204203, -0.168786, 0.078240, 0.020553, -0.341971, -0.045365, 0.343281, -0.207792, 0.204202, 0.401362, g
0.300907, 0.927206, -0.542615, -0.053888, -0.174166, -0.346356, -0.785186, 0.025657, 0.514990, -0.513508, 0.016270, 0.245901, -0.349495, 12.459888, 1.113049, 0.042500, 0.157732, -0.513508, 0.375872, b
0.057960, 0.007086, -0.047108, 0.122594, -0.111975, -0.186411, -0.288796, -0.122786, -0.244668, 0.134215, 0.030275, 0.226818, -0.220602, -0.361693, -0.116823, 0.167322, -0.236284, 0.134213, 0.064445, g
-1.331025, 0.374094, 0.419672, 0.918962, 0.834760, 0.839431, 0.273691, 0.291840, -1.077893, 0.270517, 0.329085, -0.801650, -1.247130, -0.212999, 0.633641, 0.038895, -0.291469, 0.270515, 0.111683, b
0.053943, 0.211708, -0.024019, 0.127074, -0.101803, -0.052843, -0.189180, -0.292461, -0.186124, 0.091858, -0.015229, 0.348224, -0.154134, -0.449686, -0.043520, 0.079874, -0.184780, 0.091857, 0.355167, g
-0.607685, -0.515778, -0.237863, -1.324060, -0.319913, -8.281755, 0.738536, 0.435061, -1.101490, -0.648117, -0.261747, -0.950961, -0.136416, -0.848785, -0.108426, 0.517562, 0.689982, -0.648121, -1.185577, b
0.033981, -0.062645, 0.071891, 0.037058, -0.072534, -0.038116, -0.116525, -0.233746, -0.062475, 0.126932, -0.077344, 0.290922, -0.125249, -0.276690, -0.066011, 0.070120, -0.159860, 0.126931, 0.213298, g
-0.552510, 2.493836, 0.259435, -0.532074, -0.226624, 0.089753, 1.954666, -0.402112, -0.482889, -0.513534, -1.095328, -0.911178, -5.939556, -0.724724, 1.026709, -0.038598, -2.001554, -0.513548, 0.315487, b
-0.069756, 0.472348, -0.772973, 0.771176, -0.057647, 0.298866, -1.361840, 0.365071, -0.682243, -0.529832, 0.292461, 0.570183, 0.377709, -1.324066, -0.293853, 1.094872, -0.220520, -0.529831, -0.598186, g
0.375115, 0.646280, -0.502857, -0.084337, -0.208785, -0.747968, -1.260573, 1.460639, -0.423367, 0.288440, 0.237791, 0.699080, -5.415102, -4.881250, 0.762269, -0.022590, 2.733209, 0.288437, 1.444462, b
0.108017, -1.423757, -0.747158, -0.578498, -0.617162, 2.029592, -1.140484, 0.589217, 0.056262, -0.150035, -0.543801, 0.286617, -0.147823, 0.046206, 0.416374, 0.598041, 0.435307, -0.150036, 0.222541, g
1.994986, 0.392463, 0.836556, -0.582288, 0.590464, 0.162662, -0.278314, -1.260850, 2.552299, -0.260286, -0.644998, -2.894149, -0.752388, 0.524552, -0.538143, 7.382236, -0.180593, -0.260292, 0.240898, b
0.125272, -0.189820, 0.072389, 0.300941, 0.029829, -0.127065, -0.212288, -0.166674, -0.167895, 0.225064, -0.105330, 0.181049, -0.159429, -0.315021, 0.000933, 0.035138, -0.263307, 0.225063, 0.148542, g
-0.921117, -0.781974, -0.710438, 0.022051, -0.374474, 0.288358, -0.161328, 0.243565, 1.047772, 0.494239, -0.196770, 0.270336, 0.180889, -0.294129, -0.778267, -0.486138, 0.692457, 0.494244, 0.037845, b
-0.171768, 0.326177, 0.525013, 0.361154, -0.108130, 0.190037, 0.369474, 0.223976, 0.079420, 0.042102, -0.332699, -0.242280, -0.072294, -0.018775, -0.026057, -0.314026, -0.371851, 0.042102, 0.416869, g
0.124398, -0.759139, 0.007899, -0.076918, 1.085873, 1.786666, 0.822886, 0.058363, 1.218694, -0.574882, -0.143294, -0.088732, 0.028817, -0.084109, -0.038636, 0.807609, 0.655054, -0.574881, 0.335735, b
0.026467, -0.009250, -0.174230, 0.210045, 0.359227, -0.276742, -0.071393, -0.140267, -0.083825, -0.282447, -0.430943, 0.076083, -0.090722, -0.278583, 0.023247, -0.086193, 0.227384, -0.282448, 0.076171, g
-0.644697, 0.202930, -1.113166, 0.081641, 0.107576, 0.601460, 0.404335, 0.808673, -0.273218, 0.024526, -0.274380, 0.532394, 0.728091, 0.781670, 0.354671, -0.667872, 1.014448, 0.024531, 0.466958, b
0.320202, 0.288928, -0.166549, 0.537465, 0.281145, -0.155711, -0.268097, -0.069155, -0.168682, -0.098297, 0.163569, -0.086959, 0.376873, -0.017183, 0.184033, 0.094385, 0.056286, -0.098297, 0.041112, g
0.459189, 0.819680, -0.759692, 1.227457, 0.965664, 1.561295, -0.428406, -0.472367, 0.265086, -0.597619, -0.309987, 0.039380, 0.432585, 0.577787, -0.737434, 0.476575, 0.034374, -0.597619, 0.770527, b
-0.053088, -0.357291, -0.198285, -0.330257, -0.175828, -0.255461, -0.471297, -0.215119, -0.524593, 0.361412, -0.164512, 0.322895, 0.375846, -0.268404, -0.115812, -0.162619, -0.016371, 0.361412, 0.075660, g
-2.171075, -0.245074, -0.713264, -0.096314, 0.456824, -0.811092, -0.035089, 0.244902, -0.073796, 0.144773, -0.406442, -0.572611, -0.045037, -0.241869, 0.201958, -0.327289, 0.078391, 0.144774, 0.637272, b
0.121604, 0.470161, 0.483506, 0.109181, -0.316064, 1.036727, 0.683026, -0.346839, -0.182555, 0.100378, 0.448983, -0.209140, -0.312025, 0.587744, 0.503469, 0.152495, 0.011128, 0.100378, 0.015850, g
0.778548, -1.461553, 1.578214, -0.706202, 1.008326, -0.191465, 0.177912, 0.535637, -0.467507, -0.647419, -1.309837, 0.342139, 0.138294, 0.296596, 0.017362, -0.497497, 0.245020, -0.647424, -0.159700, b
0.536919, -0.074251, 0.145630, 0.326158, -0.217523, 0.438491, -0.182100, 0.614598, 0.335984, 0.084427, -0.606397, -0.630753, -0.430240, -0.151379, 0.462184, -0.649060, -0.327546, 0.084426, -0.017872, g
0.192131, 1.003444, -0.875849, 0.485747, -0.493262, -0.509143, 1.669671, -1.165882, -0.242580, -0.077232, 0.466104, -2.071178, 0.930901, -0.835350, 1.853066, 0.059056, -1.060336, -0.077234, 0.649182, b
-0.020222, -0.050650, -0.127102, 0.187463, 0.170707, -0.048165, 0.017427, 0.081935, -0.168468, -0.040187, 0.046620, 0.036917, -0.055961, -0.135759, 0.131628, -0.021175, 0.031372, -0.040188, -0.097279, g
0.008676, -0.109723, -0.163671, 0.243699, 0.144904, -0.126864, 0.127104, 0.123058, -0.198870, -0.037601, 0.117863, -0.097075, -0.024410, -0.048875, 0.132412, 0.088405, 0.150325, -0.037601, 0.024239, g
-0.454485, 1.733541, 0.184136, 1.244277, -2.123487, 0.269270, -0.039177, 2.700461, -0.110308, -2.688478, -4.994023, -0.361696, -0.466826, 1.198412, -1.910200, -0.898429, 1.375138, -2.688481, 0.448713, b
0.375512, 0.035707, 0.407758, 0.125999, 0.101739, -0.137711, 0.087647, 0.013863, -0.071769, -0.158550, 0.140601, -0.120449, 0.215465, -0.060461, 0.282588, -0.002510, -0.102736, -0.158551, -0.031050, g
0.679782, 0.052313, -0.888939, 3.274111, -4.840806, 0.331669, -0.892696, 2.868204, 0.709426, 0.654337, -0.676867, -0.517779, 0.414879, -0.295101, 0.606591, -0.502826, -0.119503, 0.654339, 0.767221, b
0.047682, 0.023799, -0.128790, 0.061448, -0.018349, -0.044241, -0.033848, 0.011408, -0.163829, -0.055791, 0.052539, 0.078882, 0.064567, -0.234875, 0.099832, -0.002661, 0.179669, -0.055791, 0.020406, g
0.064478, -0.718182, -0.655705, -0.534032, -0.632638, -1.075905, 0.854313, -0.692627, -0.146539, 0.766235, -0.755861, 0.940733, 0.141168, 0.386230, -0.635236, 0.485092, 0.427276, 0.766237, -0.011312, b
-0.100400, 0.202499, -0.062223, 0.703511, -0.205895, -0.131932, 0.346831, -0.170374, -0.229385, -0.158820, 0.044531, -0.023483, 0.335627, -0.508580, 0.389428, 0.131397, 0.271028, -0.158820, 0.029056, g
-0.830933, -1.053520, 0.670415, -0.472557, -0.505907, 2.530862, 0.511657, 0.037400, 0.759799, -0.789974, 1.394900, -1.248647, 0.093121, -0.490802, 0.061006, 0.919426, 0.395210, -0.789975, 0.557883, b
-0.365177, -0.495000, 0.211502, 0.479041, -1.381093, -0.040681, 0.428325, 0.420996, 0.129925, -0.445890, 0.119619, 0.221910, 0.216465, 0.176904, -0.322738, 0.150155, -0.601794, -0.445891, -0.364007, g
0.105909, 0.080438, 0.277651, -0.075726, 1.385787, 0.314477, -0.102774, -0.479116, 0.585521, -0.281345, 1.971706, -2.620749, 1.050001, 0.734827, -0.425506, 0.324300, 0.224039, -0.281342, -1.150683, b
-0.144135, -0.009277, -0.100301, 0.074510, -0.088338, -0.182277, -0.149070, 0.030062, -0.024933, -0.074419, 0.056130, 0.113316, 0.064309, -0.127067, 0.134376, -0.116838, 0.071469, -0.074419, 0.032456, g
0.395957, 0.169708, -0.893222, 0.210359, -0.344145, 0.470078, -0.184881, -0.235109, 0.917118, -0.553482, 1.593305, -0.494041, 0.796431, -0.057475, -1.253007, 1.374838, -3.167075, -0.553485, -0.984980, b
-0.954136, 0.573818, 0.833147, 1.163697, -0.613615, -0.597026, 0.085863, -0.916265, -0.129588, -0.157309, -0.243960, 0.154641, 0.568660, -1.085134, -0.454409, -0.200101, 0.232783, -0.157309, -0.421093, g
-2.173216, -0.087256, -3.039107, 0.409261, 0.058924, 2.064067, 1.396646, -0.160954, 0.403989, 0.745063, -0.267783, 0.709945, 2.125503, 0.186708, -3.268358, 1.154469, -0.623585, 0.745072, 0.187266, b
0.002820, -0.129381, 0.005445, -0.021364, 0.302187, 0.026239, 0.118720, 0.218404, -0.047541, -0.054440, -0.047420, -0.014316, -0.043467, 0.213582, 0.179988, -0.049887, 0.039434, -0.054440, -0.052146, g
-0.192721, -0.685690, 0.152590, 0.593239, -0.343759, 0.502233, 0.894960, 0.090696, 0.055769, 0.057690, 0.384546, -2.602775, 1.049108, 0.480062, 0.147850, 0.053489, -0.027360, 0.057690, -0.226792, b
0.019098, -0.270936, -0.085251, -0.051829, 0.245340, 0.122465, 0.301575, 0.281487, 0.077527, -0.118595, 0.083140, -0.116660, -0.179049, 0.272189, 0.127904, 0.096173, 0.307974, -0.118595, 0.111911, g
1.152037, 0.725687, -0.591669, 0.419841, 0.015301, 2.530618, 0.138389, 0.090578, -0.551990, -0.195647, 0.793432, -0.094402, 0.032393, 0.330742, 2.310034, 0.545238, 0.153593, -0.195648, 0.432134, b
-0.170317, 0.240343, 0.309913, 0.136145, -0.036808, 0.169442, -0.036147, 0.400452, 0.023504, -0.244206, 0.047284, 0.070265, 0.137438, -0.117385, -0.078819, -0.095908, 0.038855, -0.244205, -0.334983, g
-0.032147, 0.257113, -0.488919, -0.415282, -0.857471, 0.407071, -0.412933, -0.796923, -0.390629, -0.372559, 1.320134, 0.558019, 0.187158, 0.288609, 0.051863, 0.062400, 0.441511, -0.372557, -0.468839, b
