@relation Ionosphere-pca-23



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute attr15 real 
@attribute attr16 real 
@attribute attr17 real 
@attribute attr18 real 
@attribute attr19 real 
@attribute attr20 real 
@attribute attr21 real 
@attribute attr22 real 
@attribute RESULT {g, b} 



@data
1.373240, 1.941707, -0.821776, -1.308211, -0.206846, -0.326988, 0.042920, 0.116596, -0.936275, 0.393628, -0.053921, -0.017168, -0.122782, -0.380222, 0.063948, 0.332134, -0.136575, -0.063545, -0.045669, 0.011378, -0.116400, 0.010661, -0.039274, g
2.507328, 0.879014, -0.706865, -1.451407, -0.686028, -0.434351, 0.677300, 0.000467, 1.870315, 0.718871, -0.073266, -0.238876, 0.145499, 0.585840, -0.052386, 0.524658, 0.169385, 0.035423, -0.473302, -0.138776, -0.243652, 0.413424, 0.198954, b
1.843072, 1.360361, -0.318693, -0.886746, 0.067581, -0.225054, 0.026055, 0.072193, -0.324671, 0.101146, -0.074105, 0.012335, -0.044175, -0.265744, -0.100274, 0.291112, -0.169915, -0.057356, -0.016177, -0.074889, 0.030719, 0.087149, -0.067930, g
2.256328, 0.499257, 0.329134, 0.291348, 0.195453, -0.157689, 0.934989, 0.695902, 0.323360, 0.694525, 0.315755, -0.267177, 0.457969, 0.444402, -0.079170, -0.190637, 0.601839, -0.719477, -0.341946, 0.124431, -0.189918, 0.195656, 0.240927, b
2.254021, -0.837112, 0.650650, 0.338159, -0.187486, 0.095519, -0.125461, -0.040314, 0.284250, -0.017746, 0.023400, 0.076232, 0.084171, 0.246824, 0.092084, -0.140887, 0.062070, 0.020562, 0.121673, -0.009059, -0.008661, 0.009588, 0.020523, g
-0.315275, 0.419332, -1.189374, 0.739102, 1.302393, -0.516753, 0.927617, -0.372980, 0.408860, 1.397141, -0.484874, 1.463134, 0.254532, 0.383845, -0.345455, -0.153128, 0.423383, -0.038908, 0.840401, 0.098340, 0.007152, -0.596690, 0.522897, b
1.781942, -0.405420, 0.351273, -0.027028, -0.041798, -0.036010, -0.053613, 0.044015, 0.016932, 0.009904, 0.006647, 0.092714, 0.011449, -0.022830, 0.000746, 0.039087, 0.043601, 0.050636, 0.087038, -0.050353, -0.087695, 0.026291, 0.040982, g
-2.456058, -0.383971, -1.333874, -0.732376, -1.496338, 3.108216, -0.922628, 1.034306, 0.223403, -1.964875, 1.404301, 0.711281, -0.318959, -0.889581, 0.307113, 0.162009, -1.190935, -1.296407, -0.439941, -0.469573, 0.600429, -0.220562, 0.421300, b
0.463708, -0.689016, 0.250411, 0.227844, -0.026323, 0.526281, -0.020306, -0.135304, 0.238591, -0.324491, -0.071062, -0.158173, -0.184202, -0.132072, 0.009674, -0.043808, 0.068521, 0.083534, -0.032507, -0.043713, -0.151392, 0.129275, 0.026875, g
-0.484228, -1.569850, 0.275098, 1.114263, 1.574621, -0.960628, 1.058525, -1.234350, 2.051303, -0.638509, -0.899391, 0.734552, 1.053747, 0.496150, -0.394543, 0.530968, -0.616396, -0.276788, -0.778339, 1.044145, -0.751621, 0.504936, 1.231308, b
1.951932, 1.068375, -0.002251, -0.603826, -0.098466, -0.100276, 0.029459, 0.095681, -0.415379, -0.070297, 0.028111, 0.091153, -0.072627, -0.225237, -0.048706, 0.082255, -0.159305, -0.065477, -0.017947, -0.037095, -0.025559, 0.019065, -0.019374, g
-3.082949, -0.651784, -1.133425, 1.452990, -1.543327, 0.615442, -0.475672, -2.214330, -0.853984, 1.198689, 0.046387, -0.316089, 0.814918, 0.057596, 0.597937, 0.278165, 0.237243, -0.874238, -0.173609, -1.111521, -0.705767, -0.000890, 0.385255, b
1.264965, -0.115399, 0.109607, -0.314281, 0.026950, -0.025964, 0.005980, 0.122188, -0.367996, 0.056828, -0.032344, 0.119256, 0.022250, -0.122103, 0.068481, 0.065016, -0.044490, -0.016807, 0.097910, -0.013257, -0.061117, 0.024695, 0.025555, g
-1.586932, -0.384330, -0.748555, 0.851538, -1.785251, 1.015001, -0.148080, -1.154155, -0.597799, -1.425950, 1.776757, -1.372996, -0.240352, 0.830783, 1.022070, -0.461011, 0.843303, 0.747323, -0.874680, 0.848338, -0.264267, 0.473635, 0.166918, b
1.594157, 0.651439, 0.109435, -0.612598, 0.085343, -0.120829, -0.002969, 0.060990, -0.283071, 0.022723, 0.066042, -0.041113, -0.088731, -0.241973, -0.025110, 0.253362, -0.009886, 0.049897, -0.051843, -0.062088, 0.059046, 0.046190, 0.149159, g
2.668594, 3.031011, -1.077272, -0.956221, -0.773493, -0.348187, 0.011483, -0.460878, -0.322600, 0.367835, -0.419654, 0.356328, -0.214068, -0.702307, 0.320647, 0.039813, 0.074695, -0.351204, 0.192628, 0.045434, -0.257299, 0.027286, 0.240362, b
1.050265, 1.626741, -0.795241, -1.460738, -0.251548, -0.526283, 0.742765, -0.022343, -0.367198, 0.247866, 0.202081, -0.438305, -0.815517, 0.200815, 0.323996, 0.207895, -0.355050, -0.041192, -0.216233, -0.214362, -0.022687, 0.020756, 0.085824, g
-1.655770, 0.923768, -1.253536, 1.075731, 0.170678, 0.212521, 0.839311, 2.503889, -1.315446, 0.621809, -1.356032, -1.925303, 0.093135, 0.453782, -0.294285, -0.220830, 0.275727, 0.763891, 0.420257, -0.094051, 0.353104, -0.329532, 0.256554, b
1.924258, -2.853689, 0.828257, 0.865345, 0.088333, 0.091302, -0.109062, 0.026154, 0.521030, -0.101691, 0.225369, 0.003607, -0.230461, 0.393798, 0.109240, -0.162423, -0.019916, 0.126214, 0.157559, -0.135821, 0.046408, 0.167658, 0.161813, g
-0.204463, 1.851947, -0.813244, 1.215793, 1.950983, 0.421594, 1.576411, -0.795262, 0.241820, -1.297761, 2.075910, -1.072406, -1.646217, -1.010230, 0.155108, 1.293584, 0.677655, 0.854997, 0.161409, -0.772226, 0.618118, 0.755830, 0.698171, b
2.292828, 1.566302, -0.042473, -0.895136, -0.032824, -0.247117, 0.075163, -0.013739, -0.007143, -0.135376, -0.046197, 0.007454, -0.143885, -0.230027, -0.211860, 0.116910, -0.092690, -0.162852, -0.115608, 0.046855, 0.156114, 0.072287, -0.097799, g
2.555052, 0.062042, -0.278164, 0.900762, 2.231013, -0.107454, 0.844352, -1.148670, 0.128020, 0.959082, -0.383026, -0.340684, 0.350974, 0.121388, 0.347982, -0.169817, 0.067253, -0.030845, 0.238196, 0.642788, -1.044242, -0.666647, -0.141364, b
1.316882, 1.240570, -0.498368, -0.821673, 0.034573, -0.191844, 0.086623, 0.116235, -0.459024, 0.193863, -0.071814, 0.021982, -0.092201, -0.231188, -0.024084, 0.271559, -0.149965, -0.018063, -0.047383, -0.012039, -0.046039, 0.028159, -0.004098, g
0.963605, 0.262878, -0.759177, -1.015068, -0.609188, -0.723600, 0.032828, -0.371072, 0.952534, 0.619751, -0.292942, -0.278213, 0.416279, 0.344394, -0.366175, 0.361623, 0.150911, 0.275984, -0.506506, -0.068765, -0.205945, -0.159524, -0.704681, b
2.174055, 0.401476, 0.019223, 0.143315, 0.877160, -0.278983, -0.236498, -0.812665, 0.029681, -0.203862, 0.076397, 0.042962, -0.247891, -0.437631, -0.086818, -0.341479, 0.118110, 0.125315, 0.140254, -0.080329, 0.229612, 0.154906, 0.137809, g
2.249443, -0.312845, -0.107783, 0.691552, 2.081661, 0.281465, 0.283637, -1.259377, -0.113457, -0.767179, -0.431071, 0.227423, -0.195644, 0.013486, 0.267285, 0.050394, 0.042065, -0.612799, -0.031024, -0.411992, 0.614167, -0.350365, 0.299948, b
2.045921, 0.456986, 0.221561, -0.357877, -0.064591, -0.033221, -0.064679, 0.046665, -0.114143, -0.013777, 0.005966, 0.069118, 0.015802, -0.072088, -0.035899, 0.104225, -0.022171, -0.016586, 0.017602, -0.003395, 0.014602, 0.069165, -0.025982, g
-1.405594, -1.503343, -0.213509, 1.010155, -1.074466, -0.392414, -0.013298, -0.846676, 1.336207, 1.008912, -1.426779, 0.400774, 1.788745, -1.681838, 1.112142, -0.534397, -1.019014, -0.070564, 0.926591, -0.211824, 1.134160, 0.192835, 0.419956, b
1.631718, -0.447782, 0.232987, -0.067656, -0.011720, 0.037572, -0.093167, 0.069653, -0.024171, 0.014592, -0.032476, 0.049633, 0.025384, -0.011768, -0.004693, 0.031744, 0.005875, 0.068402, 0.105793, -0.028956, -0.041339, 0.033268, -0.018465, g
1.401879, -0.841523, 0.175416, 0.063920, 0.182730, 0.376645, -0.613075, -0.251746, -0.367878, 0.309365, -0.528819, 0.128234, 0.455244, 0.153663, -0.139483, -0.069834, 0.469409, -0.201904, 0.306726, -0.003387, -0.247311, -0.025961, 0.256729, b
0.618493, -2.403960, 0.360906, 0.233453, 0.204457, 0.037128, -0.002435, 0.195137, -0.157455, 0.187912, 0.039922, 0.044332, -0.055000, 0.155929, 0.144838, 0.048695, 0.002262, 0.100416, 0.135001, -0.123319, -0.126183, 0.005445, 0.133011, g
-1.656440, 1.310134, -0.352847, -0.624556, 0.700946, 2.831363, 0.739810, 1.245200, 0.526134, 1.724176, 1.007162, -0.267534, 1.876878, 0.758650, 0.244657, -0.276653, 0.205686, -0.153351, 0.376261, 0.688291, -0.228741, 0.081838, 0.396517, b
-0.051828, -1.791214, 0.419054, 0.260067, 0.156674, -0.022205, 0.254804, 0.274203, 0.066938, 0.157843, 0.157788, 0.076553, -0.323673, 0.191134, 0.274566, -0.018576, -0.088689, 0.202071, 0.062186, -0.196002, -0.170490, 0.144024, 0.178382, g
1.742243, 0.403340, -1.099312, -0.683685, 1.004895, 0.244804, 0.737745, 1.563358, 1.656421, 0.423800, 1.207821, -0.143917, 0.086333, -0.142764, -0.232766, -0.040181, 1.042770, -0.497578, 0.368036, 1.051650, 0.404286, -1.308255, -0.880046, b
1.600347, 1.689103, -0.480272, -1.106691, -0.094652, -0.269569, 0.024666, 0.100810, -0.548584, 0.216327, -0.028195, 0.065949, -0.060970, -0.277601, -0.051892, 0.280086, -0.148936, -0.089551, -0.116189, 0.018645, 0.018866, 0.039747, -0.062641, g
-2.116628, 0.484299, -0.513371, -0.820876, -0.866413, 0.433862, 1.187600, 0.608860, -0.632710, -0.058386, 0.404684, 0.006990, 0.378870, 1.270605, 0.852197, -1.409224, -0.289905, 1.249530, -0.300883, -0.148470, -0.446178, -0.525168, 0.705309, b
1.927466, 1.058788, -0.021310, -0.681104, -0.113743, -0.154021, -0.024112, 0.061809, -0.248340, 0.041905, 0.013518, 0.040209, -0.031683, -0.146366, -0.056617, 0.160156, -0.083471, -0.051925, -0.060340, 0.010026, 0.028264, 0.043175, -0.039862, g
-0.756693, 0.869389, -0.683620, 0.838077, 0.206749, -1.696097, -1.289368, 0.749850, -0.064984, -0.107707, -0.227620, -0.099900, 0.648674, 0.599455, 0.349051, 0.082966, 1.058569, -0.452674, 0.115302, 0.076289, -0.502204, 0.429669, -0.081345, b
1.850311, 0.508667, 0.119164, -0.410246, -0.061365, -0.096610, -0.021907, 0.060383, -0.146683, 0.001514, 0.017154, -0.008743, -0.045952, -0.127725, -0.036537, 0.113278, -0.005331, -0.011319, 0.051588, -0.065914, -0.050022, 0.025730, -0.031971, g
-1.531437, -0.075635, -1.174634, 0.440470, -0.271152, 1.000251, 0.052776, -1.100291, -0.750878, 0.763149, 0.342932, 1.555012, 1.022636, 0.704667, -0.646561, -0.093169, 0.164876, -0.251311, 0.273761, -0.083936, 0.416019, 0.337503, -0.046216, b
1.623124, 0.107425, -0.028850, -0.280839, 0.075068, 0.135857, -0.179496, -0.147155, 0.713101, 0.327403, -0.209665, -0.480665, 0.152200, 0.457785, 0.050203, -0.071776, -0.023075, -0.216773, -0.386078, 0.079792, -0.138634, 0.015301, -0.243551, g
-0.661143, 0.143286, 0.008779, -0.185717, -1.821633, -0.260951, 0.352922, -1.108845, -0.706063, 1.204469, -0.347802, -2.484852, -0.164605, -0.902668, -1.267863, -0.763004, -0.156332, -0.540355, 0.236981, 0.392697, -0.586357, 0.591244, 0.270052, b
-2.853098, 2.080851, 3.079372, -0.584208, -0.151427, 0.017417, -0.344814, -0.473268, 0.597391, -0.197591, -0.087827, -0.344667, 0.082879, 0.100439, -0.053220, 0.127062, 0.300948, -0.742053, 0.618285, -0.111813, 0.353586, 0.154487, 0.141252, g
-1.243527, 0.207429, -1.682814, 0.386340, 2.947604, 2.832471, -2.189021, -0.356166, 0.316688, 0.362241, -0.022365, -0.380824, 1.202106, -0.875269, -0.407719, 1.094441, -0.426891, -0.319440, 0.061967, 0.293811, -0.060734, 0.480660, 0.496486, b
1.983472, 0.950681, 0.160676, -0.511165, -0.226609, -0.147026, -0.074056, 0.111054, -0.145941, 0.011628, 0.062155, -0.020529, -0.050316, -0.111512, -0.032363, 0.071439, 0.015436, -0.034323, -0.024585, -0.005530, 0.044902, 0.032197, -0.106566, g
-4.094835, 0.816308, -1.522313, 0.695922, 1.081279, -0.751261, -0.561245, 0.567564, -0.808615, -1.222136, 0.191516, 0.757892, 0.201103, 0.595698, -0.251885, 0.709414, -1.185672, -0.413016, 1.295594, -0.277550, 0.071026, 0.041613, -0.696006, b
1.997778, 0.546873, 0.392062, -0.576536, -0.151703, -0.298389, -0.201111, 0.175642, -0.234697, -0.017746, 0.235960, -0.262109, 0.364830, -0.288737, 0.050532, -0.234475, -0.100738, 0.223062, -0.133971, -0.002597, -0.030485, -0.114969, -0.116553, g
-1.202531, 0.375365, 0.061536, 1.548144, -2.872949, -0.947615, 1.085250, 1.618624, -0.248544, -0.659645, 0.004830, 0.866246, 1.023674, -1.004502, -1.092996, 0.190593, 1.094240, 0.714415, -0.957574, 0.582873, 1.488849, -0.381568, 0.609473, b
1.980870, -0.559882, 0.522260, 0.211600, 0.078191, 0.071897, -0.206652, 0.050673, 0.028261, -0.031468, -0.007323, 0.088703, 0.048562, 0.003885, 0.009158, 0.063927, 0.050313, 0.037956, 0.115281, -0.029450, -0.066912, 0.046839, 0.034059, g
-2.104816, -0.717558, -1.364441, 1.116660, 1.198089, 0.523075, -0.733450, 0.332602, 0.619662, 0.710642, 0.936658, 0.044345, 0.146014, 0.116562, -0.686831, -1.169845, -0.929250, -0.393505, 0.299288, 0.483519, -0.075780, -0.664071, -1.429273, b
1.553133, -1.232452, 0.511298, 0.268591, 0.024280, 0.073227, -0.131783, 0.148435, -0.121339, 0.060388, -0.009188, 0.059680, 0.038259, 0.090967, 0.085544, 0.050430, 0.040332, 0.059731, 0.157533, -0.061253, -0.070084, 0.043675, 0.057693, g
-0.879292, 0.736021, -1.147725, 0.232099, 0.742941, 0.374910, -0.396680, -0.605180, 0.230399, -0.032341, 0.363645, 0.141643, 0.815475, -0.350711, -0.599347, -0.597904, -0.874080, 0.433082, 0.114091, -0.060162, -0.032769, 0.310315, -0.182702, b
0.934555, -2.134392, 0.520214, 0.353573, -0.001196, 0.060234, -0.084462, 0.175590, -0.178295, 0.113966, -0.045097, 0.039356, 0.021036, 0.199447, 0.114738, -0.011276, 0.036596, 0.139351, 0.204959, -0.078069, -0.154422, 0.008272, 0.057735, g
-1.055520, 0.242501, 1.258096, -0.082238, -2.123501, 0.431275, -1.643667, 1.063344, 0.785353, 0.159921, -0.232807, 0.454816, 0.581783, 0.355866, 0.717218, 0.167269, -0.175982, -0.452971, 0.438665, 0.517053, 0.333848, -0.689563, 0.560386, b
1.681405, 0.325651, 0.478159, 0.122572, 0.364673, -0.111287, 0.070392, 0.359321, -0.509925, 0.115506, 0.542524, -0.115971, 0.019366, 0.295318, -0.266225, 0.233483, 0.293533, -0.338725, -0.349818, -0.176714, 0.124950, -0.056412, -0.219795, g
1.889102, -0.311583, 0.364017, -0.152127, -0.079077, 0.202834, 0.408646, -0.231406, 0.442012, 0.343819, 0.257782, -0.427833, -0.042590, 0.556301, 0.205430, -0.645251, 0.347746, -0.091972, 0.446063, -0.077011, 0.050563, 0.236161, 0.108883, b
2.018106, 0.070119, 0.558959, -0.271527, -0.620751, 0.002262, -0.089992, 0.196749, -0.045668, -0.004364, 0.139133, 0.054309, 0.127826, 0.108811, 0.078519, -0.080551, 0.078145, 0.057446, 0.028442, -0.021948, 0.101749, 0.016007, -0.192257, g
2.275454, -0.094416, -0.713413, -1.021742, -0.210263, -0.313637, -1.069848, -1.813355, 0.300100, 0.365441, 0.736734, -1.116864, 0.981029, -0.374407, -0.413544, -0.596773, -0.061117, 0.892684, -1.140605, -0.526206, 0.331006, -0.930791, 0.859178, b
-2.640296, 1.842085, 2.138535, -0.908210, 0.038312, -0.152047, -0.053622, -0.262961, 0.114674, -0.064448, -0.102233, -0.422772, 0.211349, 0.227998, -0.208325, -0.357558, 0.149432, -0.374132, 0.492573, -0.118102, 0.038831, 0.290273, -0.060897, g
2.068157, -1.646540, -0.298582, -1.400198, -1.068688, -0.086375, -0.158473, -0.304261, 2.168935, 0.440524, 0.664757, -0.040605, -0.500913, -0.652592, -0.692163, -0.386657, -0.407025, 0.237268, -0.122875, -0.113018, -0.067616, 0.456556, -0.378717, b
2.020797, -1.864284, 0.821382, 0.727617, 0.199823, 0.134205, -0.140933, 0.053934, 0.221124, -0.074225, 0.089783, 0.016191, 0.070490, 0.134209, 0.021896, 0.020289, 0.027787, 0.176050, 0.121442, -0.084956, -0.156876, 0.082886, 0.005074, g
-0.316617, 1.768090, -1.003111, -0.036332, 0.643206, -1.533595, 1.056068, -1.329947, -0.725501, 0.687993, 0.094116, -0.576026, 1.217589, 1.065034, -0.915421, -1.110764, 0.282309, -1.280666, 0.299832, -0.780960, 1.695674, 0.735183, -0.090477, b
0.804033, -2.639965, 0.437243, 0.426277, 0.170257, 0.048936, -0.090631, 0.236443, -0.164711, 0.133207, 0.064412, 0.019214, -0.019273, 0.191381, 0.131982, -0.009171, -0.008931, 0.160104, 0.159266, -0.060953, -0.136397, 0.009620, 0.158184, g
-0.929438, -0.494614, -0.358013, 0.868055, -0.174330, -0.203053, -0.717829, 0.004384, 0.247767, 0.050410, -0.457058, -0.046227, 0.115849, -0.764840, -0.519488, 0.103542, -0.154748, -0.222986, -0.120520, -0.032139, 0.144177, 0.201981, -0.519242, b
1.468060, -2.068162, 0.520420, 0.447050, 0.047629, 0.112128, -0.052011, 0.163977, -0.066614, 0.054804, 0.042677, -0.008808, -0.060497, 0.199385, 0.074443, -0.010764, -0.030958, 0.129666, 0.135021, -0.127678, -0.151824, 0.017269, 0.100787, g
1.239961, 0.421146, -0.466774, -1.083560, -0.343062, -0.170138, -2.931715, -0.938096, 0.161535, 0.353617, 1.489015, -0.797106, 0.675093, -1.205350, 0.380072, -0.698211, 0.448074, 1.068630, 0.386312, 0.336003, 0.280201, -0.702103, 0.467563, b
1.411146, -1.843700, 0.495645, 0.338848, 0.099370, 0.059277, -0.047563, 0.171611, -0.000290, 0.069237, 0.069605, 0.030600, -0.052466, 0.173124, 0.092884, 0.024134, 0.019260, 0.091791, 0.113236, -0.097235, -0.104930, 0.024606, 0.127490, g
-1.196926, -2.691916, 0.098431, -0.941502, -3.081263, -0.651516, -0.214155, 0.792518, -0.764024, 0.003709, -0.392035, -2.076009, 0.314866, 0.436180, 0.169174, 0.343929, -0.767311, -0.800054, 0.853529, 0.014187, 0.582326, -0.413495, 0.239888, b
0.817863, -3.687303, 0.780123, 0.548947, 0.028859, -0.096511, -0.189504, 0.618660, -0.332993, 0.193096, 0.359049, -0.374665, -0.171762, 0.458466, -0.169532, 0.260432, -0.253861, 0.407942, -0.256106, -0.274630, -0.068051, 0.349471, -0.283818, g
-0.944424, -1.435186, 1.329459, 0.382222, -3.070589, 0.039194, 0.514914, -0.884156, 0.885749, -0.045242, -1.651754, -1.035265, -0.150249, -0.128430, 0.341408, 0.933264, -0.653376, 0.195310, -0.031095, -0.157879, -0.185535, -0.713640, -0.617702, b
2.193667, 1.826439, 0.176551, -0.780085, 0.694008, -0.290244, 0.108959, -0.331402, -0.255963, -0.423054, -0.266594, -0.099205, -0.124026, -0.022409, 0.145320, 0.646812, -0.358542, 0.048792, 0.152107, 0.030403, 0.164618, 0.285565, -0.478684, g
2.104137, -0.062235, 0.951287, 0.207000, 0.848892, -0.659076, 1.720176, 1.008922, 0.663196, 0.026976, 1.140757, -1.108557, 1.497267, -0.878780, 0.938374, 0.154521, -0.316682, 0.079170, -1.225111, 0.234945, -0.126230, -0.156999, -1.222576, b
0.324772, -2.467894, 0.234793, 0.279320, 0.212049, 0.045193, 0.023672, 0.210189, -0.172410, 0.167829, 0.035350, 0.055632, -0.102732, 0.116206, 0.132000, -0.004823, -0.002475, 0.104975, 0.120182, -0.121530, -0.149019, 0.014031, 0.143937, g
-0.932999, -1.052315, -0.137440, -0.252072, 0.340202, -0.305073, 0.354870, -0.088208, -0.118493, -0.079772, -0.185035, 0.050930, -0.182669, 0.066489, -0.018598, 0.238133, 0.107589, 0.430765, -0.028317, 0.017544, -0.000957, 0.283036, 0.178641, b
0.999054, 0.126598, -0.057266, -0.227834, 0.058666, 0.073858, -0.219137, 0.215692, -0.019434, 0.020289, -0.140385, -0.113366, -0.126403, 0.132876, -0.000778, -0.106083, 0.002921, -0.198532, 0.042315, 0.023057, 0.014381, 0.000664, 0.031696, g
0.558153, -0.400559, 0.225704, 0.317078, -0.091312, 0.417210, 0.629254, 0.666068, -0.638273, -0.644068, -0.207583, 0.263310, 0.039662, -0.197668, 0.247793, 0.238773, -0.004670, -0.287091, -0.073765, -0.272029, 0.133069, 0.183244, -0.404715, b
1.232171, 0.342721, 0.185086, 0.100898, -0.040160, 0.121421, -0.086102, 0.079368, 0.024677, -0.115722, -0.120439, 0.035577, -0.017619, -0.238574, 0.000020, -0.123769, -0.020075, 0.170695, 0.168217, -0.113504, -0.024932, -0.010408, 0.001194, g
0.978600, -0.220825, 0.849428, 0.403673, 0.643035, 0.661702, -0.314879, -0.087283, -0.853390, -0.607775, -0.692863, 0.108754, -0.346422, 0.016686, -0.349996, -0.050369, -0.388723, -0.117024, 0.376265, -0.013373, 0.051194, 0.041946, 0.396871, b
0.360773, -0.143953, -0.129120, 0.388433, -0.024479, 0.088287, -0.090932, 0.087383, 0.044739, 0.015910, -0.150292, -0.002899, 0.057861, -0.019305, -0.072120, -0.134885, 0.171898, 0.116552, -0.128258, -0.035925, -0.200779, 0.054124, -0.060028, g
-2.094162, -0.381045, -0.486906, -0.594686, 0.371977, 0.117527, 0.450127, 0.328016, 0.207895, 0.074288, -0.259995, -0.297793, 0.127293, -0.312938, -0.129809, -0.207655, -0.000984, -0.200127, 0.166021, -0.282789, -0.189168, 0.707251, -0.108213, b
1.379407, -1.358281, 0.472120, 0.646262, 0.415737, 0.117524, 0.058474, -0.155497, -0.102401, -0.010045, 0.046317, 0.184746, 0.009952, 0.063292, -0.050081, 0.287801, 0.074028, 0.278090, 0.071323, -0.017318, -0.102092, -0.074312, 0.086640, g
-0.229019, 0.098109, -1.406772, -0.175743, -0.753009, -1.603326, -0.722814, 0.210449, 1.228155, 0.464965, 0.113841, -0.052112, -0.002706, 0.350116, -0.152417, 0.301037, 0.464916, 0.051660, -0.244563, -0.004493, -0.174158, 0.114578, 0.036014, b
0.240120, 0.192443, 0.161977, -0.050849, -0.122941, 0.026669, 0.293906, 0.303299, -0.198142, -0.298326, -0.269694, 0.179133, 0.061321, 0.354607, -0.083956, -0.129857, -0.091127, -0.311520, -0.130270, -0.019106, -0.019467, -0.250452, -0.084496, g
-0.524821, 0.004476, -0.926197, 0.573714, 1.057780, 0.836794, -0.862433, 0.036537, 0.392548, -0.088583, 0.224205, -0.514161, -0.119938, -0.312755, 0.274587, -0.107522, 0.429785, 0.189911, 0.319907, -0.174720, 0.415278, -0.015292, -0.106350, b
0.338432, 0.176385, -0.287974, 0.152624, -0.022113, 0.106015, 0.009584, 0.056649, 0.061472, -0.128310, -0.213475, -0.111377, -0.194890, 0.144896, 0.096148, -0.224608, 0.015397, 0.164081, 0.212008, 0.095056, 0.109191, 0.083329, -0.265775, g
-2.202779, -2.479149, -0.610828, -0.499069, 0.270826, 0.168972, -0.124792, 0.080043, 0.070527, 0.105028, 0.708187, -0.008936, -0.607710, -0.500042, -0.123109, -0.440433, -0.602787, 0.234306, -0.240200, 0.212612, -0.390697, -0.100232, 0.118761, b
